	Mass	AvgLat	AvgLon	AvTemp	RS
Felis_chaus	3.86	26.6	72.64	20.48	9497864.36
Lynx_canadensis	3.97	55.84	-106.71	-2.12	8357.23
Lynx_pardinus	3.97	39.03	-6.51	15.09	821146.75
Catopuma_temminckii	4.06	16.48	100.82	22.31	9981270.97
Catopuma_badia	3.39	1.72	113.06	25.56	1640639.06
Felis_bieti	3.74	37.87	99.81	1.23	11933728.62
Lynx_lynx	4.25	53.45	91.32	-1.66	2991618.11
Felis_margarita	3.4	28.12	36.13	21.77	3029222.12
Felis_nigripes	3.11	-25.81	22.54	19.17	4109777.5
Felis_silvestris	3.7	14.34	31.35	20.47	4369900.8
Caracal_caracal	4.13	12.44	28.18	22.69	910368.58
Lynx_rufus	3.94	37.99	-98.96	11.56	441166.87
Leopardus_pardalis	4.07	-4.91	-63.64	24.17	676137.5
Leopardus_tigrinus	3.35	-8.54	-57.26	24.41	3857.04
Leopardus_wiedii	3.51	-5.55	-61.82	24.47	1413.23
Leptailurus_serval	4.07	-1.33	22.02	24	3698550.33
Acinonyx_jubatus	4.69	0.72	27.56	24.19	673837.85
Panthera_leo	5.2	-3.32	25.49	24.1	10380154.86
Profelis_aurata	4.02	0.72	15.43	24.4	14490779.75
Prionailurus_bengalensis	3.51	21.95	102.38	19.4	12305678.36
Uncia_uncia	4.64	36.44	86.19	0.21	49262900.73
Prionailurus_rubiginosus	3.14	14.87	75.07	25.97	6091698.25
Panthera_tigris	5.21	25.59	95.07	18.37	14599.55
Prionailurus_planiceps	3.82	1.46	106.76	26.19	27004637.26
Panthera_onca	5	-1.7	-67.11	24.01	3104.67
Pardofelis_marmorata	3.45	10.31	99.03	23.25	3025331.52
Puma_concolor	4.71	2.14	-75.49	19.23	9455959.04
Neofelis_nebulosa	4.29	18.94	104.16	19.97	316932.38
Oreailurus_jacobita	3.96	-21.46	-68.73	12.62	5019686.11
Oncifelis_guigna	3.34	-40.52	-71.91	8.92	13979650.03
Oncifelis_geoffroyi	3.55	-32.74	-63.93	15.57	3375963.17
Oncifelis_colocolo	3.59	-27.57	-62.43	17.4	708552.82
Prionailurus_viverrinus	3.96	13.46	98.14	25.04	2500083.77
Otocolobus_manul	3.54	40.35	88.92	2.93	1731369.12
Panthera_pardus	4.71	22.73	92.39	21.52	14323548.08
Genetta_angolensis	3.21	-11.45	27.66	21.64	1394464.3
Viverricula_indica	3.46	19.35	93.63	22.98	548171.44
Viverra_zibetha	3.97	20.84	102.82	21.12	653267.79
Macrogalidia_musschenbroekii	3.6	-0.9	121.75	23.96	548100.22
Genetta_abyssinica	3.21	12.16	39.88	23.8	3485740.56
Fossa_fossana	3.17	-18.79	47.99	20.8	2254408.92
Viverra_tangalunga	3.93	3.31	112.68	26.19	202589.51
Viverra_megaspila	3.96	14.81	101.79	25.43	437061.93
Prionodon_pardicolor	2.7	22.47	99.43	20.64	13968325.18
Genetta_genetta	3.25	6.1	17.42	23.5	108692.4
Genetta_johnstoni	3.34	6.69	-8.5	25.11	255401.98
Genetta_maculata	3.34	8.86	1.9	27.27	9073354.14
Genetta_victoriae	3.47	1.53	24.97	23.93	7513587.45
Genetta_tigrina	3.34	-28.73	27.69	17.77	1254877.74
Genetta_thierryi	3.14	10.19	-1.46	26.88	28864742.16
Genetta_servalina	3.02	-1.29	22.44	23.85	110847.18
Hemigalus_derbyanus	3.32	1.62	107.53	26.26	273833.65
Arctogalidia_trivirgata	3.35	9.97	104.1	25.12	580009.08
Chrotogale_owstoni	3.51	18.02	107.4	23.67	15929622.04
Paguma_larvata	3.63	19.37	103.53	20.26	5211683.37
Paradoxurus_hermaphroditus	3.49	14.03	97.61	24.36	12201612.48
Paradoxurus_jerdoni	3.44	9.83	76.91	25.8	151338.56
Paradoxurus_zeylonensis	3.44	6.66	80.45	26.25	8602.66
Civettictis_civetta	4.07	-0.45	20.05	24.36	171.86
Cryptoprocta_ferox	3.97	-19.19	46.88	22.32	599489.4
Eupleres_goudotii	3.47	-18.71	48.08	20.39	1845151.75
Arctictis_binturong	3.99	8.95	104.56	24.97	16974515.84
Viverra_civettina	3.95	10.96	76	26.08	178958.81
Cynogale_bennettii	3.65	0.94	113.1	26.46	179879.33
Nandinia_binotata	3.3	-1.52	20.07	23.99	3593238.88
Dologale_dybowskii	2.54	2.9	28.72	23.75	2183887.68
Crossarchus_alexandri	3.17	0.000987632	24.19	24.27	572817.61
Crossarchus_ansorgei	2.84	-1.78	21.31	24.84	662973.76
Crossarchus_obscurus	3.09	-1.63	21.71	24.94	24370021.21
Herpestes_javanicus	2.87	19.92	91.73	24.4	2981942.48
Cynictis_penicillata	2.92	-25.05	22.06	19.25	978322.15
Rhynchogale_melleri	3.39	-13.89	31.89	22.25	5115381.25
Galidia_elegans	2.9	-18.49	47.29	23.02	1403949.17
Galerella_flavescens	2.87	-17.35	14.67	20	978373.11
Galerella_pulverulenta	2.9	-30.94	22.55	16.72	3475364.34
Galerella_sanguinea	2.74	-2.76	23.72	23.86	14824802.31
Galidictis_grandidieri	3.14	-24.26	44.25	22.43	4239617.25
Galidictis_fasciata	2.74	-21.3	47.95	21.88	1450217.4
Salanoia_concolor	2.81	-17.27	49.01	21.5	15327.81
Mungotictis_decemlineata	2.81	-21.27	44.54	23.8	214021.28
Liberiictis_kuhni	3.33	6.17	-8.13	25.06	1495821.47
Paracynictis_selousi	3.21	-16.62	25.3	21.51	2408484.17
Suricata_suricatta	2.86	-25.7	20.58	18.85	214516.31
Herpestes_vitticollis	3.41	10.64	77.62	26.11	17008002.32
Herpestes_urva	3.27	19.43	101.06	22.44	13378864.82
Herpestes_smithii	3.25	17.16	78.6	26.49	12249612.17
Herpestes_semitorquatus	3.3	1.53	111.93	25.66	16264621.71
Ichneumia_albicauda	3.54	0.33	24.42	24.42	15524787.74
Herpestes_palustris	3.3	22.18	88.39	26.51	11503822.3
Herpestes_naso	3.47	0.64	16.29	24.68	14102864.39
Mungos_gambianus	3.17	8.93	-3.29	26.55	12019667.67
Herpestes_ichneumon	3.71	3.18	21.28	23.78	44799.56
Herpestes_edwardsii	3.12	22.53	77.78	24.79	31281984.46
Herpestes_brachyurus	3.26	0.8	105.49	26.36	11287346.06
Helogale_parvula	2.47	-11.08	29.97	22.31	983199.39
Helogale_hirtula	2.46	3.15	41.9	25.88	10226394.54
Mungos_mungo	3.28	-1.59	22.67	24.26	1079453.23
Crocuta_crocuta	4.79	-1	23.33	24.31	8232457.95
Hyaena_hyaena	4.62	22.65	37.59	22.7	18931731.89
Proteles_cristatus	4	-10.02	31.1	21.8	214336.75
Canis_adustus	4.01	-2.06	21.95	24.1	10285397.12
Canis_aureus	4.01	18.98	17.73	24.69	4149.45
Atelocynus_microtis	3.88	-4.64	-64.52	25.65	9439988.88
Alopex_lagopus	3.68	64.11	-3.68	-7.72	3677763.65
Vulpes_velox	3.34	38.34	-103	10.73	6789340.98
Canis_mesomelas	3.92	-9.72	31.87	21.9	9757335.47
Canis_simensis	4	8.98	38.93	18.47	378720.24
Cerdocyon_thous	3.71	-10.85	-55.85	23.82	3473572.39
Canis_lupus	4.5	49.06	46.1	2.52	4644604.42
Chrysocyon_brachyurus	4.36	-17.4	-51.4	23.51	8134322.01
Canis_latrans	4.12	42.77	-108.49	8.01	23330904.51
Vulpes_bengalensis	3.43	23.44	77.83	24.28	1418.18
Vulpes_cana	3	27.61	54.23	21.46	1486854.02
Vulpes_chama	3.47	-25.75	21.75	18.68	3887.33
Vulpes_corsac	3.38	42.81	88.08	4.84	276855.38
Vulpes_ferrilata	3.69	33.7	89.38	1.32	443831.79
Vulpes_pallida	3.44	14.54	11.36	27.99	1744121.86
Urocyon_littoralis	3.27	33.89	-120	13.83	12130416.91
Speothos_venaticus	3.77	-6.83	-58.95	24.98	1606740.79
Vulpes_zerda	3.04	21.07	13.55	25.98	15502609.53
Vulpes_vulpes	3.74	48.17	19.63	4.12	18289.27
Lycaon_pictus	4.34	-2.87	26.21	23.97	6694268.48
Otocyon_megalotis	3.61	-12.4	30.24	21.79	37403245.49
Nyctereutes_procyonoides	3.6	42.74	79.87	9.35	15577773.89
Cuon_alpinus	4.15	14.18	96.46	24.89	12312677.75
Mustela_frenata	2.16	31.08	-94.9	13.5	154861.83
Mustela_putorius	2.96	48	11.92	9.5	116567.01
Mustela_kathiah	2.31	25.09	101.16	16.81	51420.65
Mustela_lutreola	2.64	48.37	8.3	10.01	45170963.57
Mustela_lutreolina	2.84	-6.26	106.73	25.62	1310386.64
Mustela_nudipes	2.69	0.95	108.39	26.21	4157115
Mustela_altaica	2.23	38.74	105.99	2.89	20064988.99
Mustela_sibirica	2.6	43.83	96.43	5.27	867757.04
Mydaus_marchei	3.39	9.94	118.63	26.75	10966.62
Poecilogale_albinucha	2.53	-12.37	27.39	21.71	4334643.41
Pteronura_brasiliensis	4.38	-9.74	-58.54	24.65	2234518.96
Mustela_nivalis	2.01	53.01	30.94	0.87	11855037.14
Martes_zibellina	3.05	57.19	107.8	-5.36	148788.27
Lutra_lutra	3.94	48.25	78.38	4.23	6050697.45
Lutra_maculicollis	3.6	-0.85	19.65	24.14	9885215.02
Lutra_sumatrana	3.74	1.49	106.58	26.07	6343208.26
Lyncodon_patagonicus	2.35	-36.89	-67.75	13.24	4584819.06
Martes_americana	3.09	53.59	-104.76	-0.4	471666.27
Martes_flavigula	3.26	14.91	102.22	21.37	1179262.97
Martes_foina	3.18	41.54	39.07	9.22	7152039.36
Martes_martes	3.11	51.41	30.98	6.76	4601255.77
Mustela_erminea	2.07	55.96	17.37	-1.42	5165118.93
Martes_pennanti	3.6	50.95	-101.47	1.78	6120719.19
Mustela_eversmannii	3.13	45.1	80.45	3.41	14458764.05
Meles_meles	4.11	48.71	23.44	8.62	9296161.92
Mellivora_capensis	3.92	3.01	25.92	24.57	8852056.17
Melogale_everetti	3.12	6.21	117	25.16	2096786.87
Melogale_moschata	2.9	26.03	112.55	18.35	7248207.04
Melogale_orientalis	3.3	-7.01	108.34	25.32	3156.6
Melogale_personata	3.23	16.81	100.21	23.31	2083.38
Mydaus_javanensis	3.39	-0.49	107.4	26.13	935601.1
Taxidea_taxus	3.85	40.33	-105.39	9.78	6250248.02
Martes_melampus	3	35.93	134.34	12.45	9272837.3
Eira_barbara	3.59	-6.02	-62.98	24.31	10318266.49
Ictonyx_libyca	3.31	22.02	10.51	24.96	929815.79
Arctonyx_collaris	3.8	22.99	106.03	20.25	272942.27
Gulo_gulo	4.23	57.51	-6.39	-3.38	2622617.79
Ictonyx_striatus	3.11	-1.77	22.64	24.11	1217328.62
Galictis_cuja	3	-32	-62.67	15.73	13264267.98
Vormela_peregusna	2.73	41.71	67.63	8.61	250.99
Aonyx_capensis	4.27	-3.07	20.38	23.64	11220016.08
Amblonyx_cinereus	3.24	24.62	94.34	18.71	1943.71
Galictis_vittata	3.5	-4.62	-60.72	24.92	8807.81
Melursus_ursinus	4.96	21.27	81.86	24.71	516.2
Ursus_americanus	4.99	51.3	-103.27	1.33	4901227.44
Ursus_thibetanus	4.88	26.57	95.58	13.58	6264633.53
Ursus_arctos	5.23	55.58	42.37	-2.09	11181544.73
Ailuropoda_melanoleuca	5.03	32.56	101.12	0.46	24047304.9
Ursus_maritimus	5.58	65.84	-19.1	-7.63	2182683.04
Helarctos_malayanus	4.66	9.7	104.57	25.31	53938.16
Tremarctos_ornatus	5.14	-3.01	-74.31	18.51	10707700.31
Conepatus_semistriatus	3.07	4.63	-67.12	24.86	2951206.52
Conepatus_leuconotus	3.54	26.06	-101.97	18.87	1605561.64
Conepatus_chinga	3.28	-25.34	-65.73	16.12	8830921.57
Conepatus_humboldtii	2.51	-44.81	-69.3	9.41	1004928.81
Spilogale_putorius	2.53	37.28	-93.24	13.22	2525129.52
Mephitis_macroura	2.9	23.92	-102.15	19.83	515.17
Mephitis_mephitis	3.31	43.13	-98.72	7.8	9617596.91
Bassaricyon_lasius	3.07	10.1	-83.95	23.15	25074621.52
Ailurus_fulgens	3.69	28.19	94.99	7.72	3161232.37
Bassaricyon_alleni	3.09	-9.05	-72.38	23.11	2130192.79
Bassaricyon_gabbii	3.09	5.14	-72.16	24.33	3012.56
Bassaricyon_pauli	3.07	8.73	-83	23.68	1635947.14
Bassariscus_astutus	3.05	30.5	-105.72	16.66	1681721.45
Bassaricyon_beddardi	3.09	3.2	-64.08	24.35	3917588.16
Procyon_insularis	3.69	21.45	-106.5	23.73	7948146.83
Nasuella_olivacea	3.12	3.89	-75.05	19.72	7933730.11
Nasua_nasua	3.57	-9.44	-59.04	24.42	3360819.62
Nasua_narica	3.6	21.73	-97.94	21.71	400203.21
Procyon_cancrivorus	3.84	-9.9	-57.92	24.18	1977790.05
Procyon_lotor	3.74	36.83	-97.6	12.18	6251927.33
Procyon_maynardi	3.69	26.56	-77.91	23.68	2272187.58
Procyon_minor	3.69	17.99	-66.5	25.06	3805574.9
Procyon_pygmaeus	3.39	20.64	-86.75	26.06	668020.9
Bassariscus_sumichrasti	2.95	16.32	-90.84	24.22	52146079.9
Potos_flavus	3.47	-1.67	-65.67	25.22	5623213.76
