child_name,status,parent_name,author1init,author1last,author2init,author2last,otherauthors,pubyr
"Agrion vetustum","belongs to",Agrion,H.,Hagen,,,,1848
"Aeschna charpentieri","belongs to",Aeshna,H.,Hagen,,,,1848
"Gomphus resinatus","belongs to",Gomphus,H.,Hagen,,,,1848
"Agrion antiquum","belongs to",Agrion,F.,Pictet,,,,1848
"Anax buchii","belongs to",Anax,H.,Hagen,,,,1848
Libellula,"belongs to",Libellulidae,O.,Heer,,,,1849
Lestes,"belongs to",Agrion,O.,Heer,,,,1849
"Agrion (Lestes) leucosia","belongs to",Lestes,O.,Heer,,,,1849
"Agrion (Lestes) ligea","belongs to",Lestes,O.,Heer,,,,1849
"Agrion (Lestes) peisinoe","belongs to",Lestes,O.,Heer,,,,1849
"Agrion (Sterope) parthenope","belongs to","Agrion (Sterope)",O.,Heer,,,,1849
"Lestes coloratus","belongs to",Lestes,O.,Heer,,,,1849
"Agrion (Sterope)","belongs to",Agrion,O.,Heer,,,,1849
"Agrion (Agrion) aglaope","belongs to","Agrion (Agrion)",O.,Heer,,,,1849
"Agrion aglaopheme","belongs to",Agrion,O.,Heer,,,,1849
"Aeschna polydore","belongs to",Aeshna,O.,Heer,,,,1849
"Aeschna tyche","belongs to",Aeshna,O.,Heer,,,,1849
"Aeschna metis","belongs to",Aeshna,O.,Heer,,,,1849
"Aeschna eudore","belongs to",Aeshna,O.,Heer,,,,1849
"Libellula platyptera","belongs to",Cordulia,O.,Heer,,,,1849
"Libellula thoe","belongs to",Libellula,O.,Heer,,,,1849
"Libellula perse","belongs to",Libellula,O.,Heer,,,,1849
"Libellula doris","belongs to",Libellula,O.,Heer,,,,1849
"Libellula thetis","belongs to",Libellula,O.,Heer,,,,1849
"Libellula eurynome","belongs to",Libellula,O.,Heer,,,,1849
"Libellula melobasis","belongs to",Libellula,O.,Heer,,,,1849
"Libellula calypso","belongs to",Libellula,O.,Heer,,,,1849
"Libellula (Heterophlebia)","belongs to",Libellula,"J. O.",Westwood,,,,1849
"Libellula (Heterophlebia) dislocata","belongs to","Libellula (Heterophlebia)","P. B.",Brodie,,,,1849
"Aeschna brodiei","belongs to",Gomphus,"H. A.",Hagen,,,,1850
"Aeschna brodiei","belongs to",Gomphoides,E.,"De Selys-Longchamps",,,,1850
"Aeschna muensteri","belongs to",Cordulegaster,"H. A.",Hagen,,,,1850
"Gomphus koehleri","belongs to",Gomphus,"H. A.",Hagen,,,,1850
"Libellula longialata","belongs to",Anax,"H. A.",Hagen,,,,1850
"Libellula antiqua","belongs to",Libellula,"H. A.",Hagen,,,,1850
"Aeschna gigantea","belongs to",Anax,"H. A.",Hagen,,,,1850
"Heterophlebia westwoodii","belongs to","Libellula (Heterophlebia)","H. A.",Hagen,,,,1850
"Libellula hopei","belongs to",Petalura,E.,"De Selys-Longchamps",,,,1850
"Aeshna liassina","belongs to",Petalura,"H. A.",Hagen,,,,1850
"Aeshna liassina","belongs to","Libellula (Heterophlebia)",E.,"De Selys-Longchamps",,,,1850
"Agrion (Lestes) leucosia","belongs to",Lestes,"H. A.",Hagen,,,,1850
"Agrion (Lestes) ligea","belongs to",Lestes,"H. A.",Hagen,,,,1850
"Agrion (Lestes) peisinoe","belongs to",Lestes,"H. A.",Hagen,,,,1850
"Agrion (Sterope) parthenope","belongs to","Agrion (Sterope)","H. A.",Hagen,,,,1850
"Lestes coloratus","belongs to",Lestes,"H. A.",Hagen,,,,1850
"Agrion (Sterope)","belongs to",Agrionidae,"H. A.",Hagen,,,,1850
"Agrion (Agrion) aglaope","belongs to",Agrion,"H. A.",Hagen,,,,1850
"Agrion aglaopheme","belongs to",Agrion,"H. A.",Hagen,,,,1850
"Aeschna polydore","belongs to",Aeshna,"H. A.",Hagen,,,,1850
"Aeschna tyche","belongs to",Aeshna,"H. A.",Hagen,,,,1850
"Aeschna metis","belongs to",Anax,"H. A.",Hagen,,,,1850
"Aeschna eudore","belongs to",Aeshna,"H. A.",Hagen,,,,1850
"Libellula platyptera","belongs to",Cordulia,"H. A.",Hagen,,,,1850
"Libellula thoe","belongs to",Libellula,"H. A.",Hagen,,,,1850
"Libellula perse","belongs to",Libellula,"H. A.",Hagen,,,,1850
"Libellula doris","belongs to",Libellula,"H. A.",Hagen,,,,1850
"Libellula thetis","belongs to",Libellula,"H. A.",Hagen,,,,1850
"Libellula eurynome","belongs to",Libellula,"H. A.",Hagen,,,,1850
"Libellula melobasis","belongs to",Libellula,"H. A.",Hagen,,,,1850
"Libellula calypso","belongs to",Libellula,"H. A.",Hagen,,,,1850
"Gomphus petrificatus","belongs to",Gomphus,"H. A.",Hagen,,,,1850
"Aeshna perampla","belongs to",Aeshna,"H. A.",Hagen,,,,1850
"Aeschna intermedia","belongs to",Anax,"H. A.",Hagen,,,,1850
"Libellula decapitata","belongs to",Libellula,E.,"De Selys-Longchamps",,,,1850
"Agrion vetustum","belongs to",Agrion,"H. A.",Hagen,,,,1850
"Aeschna charpentieri","belongs to",Aeshna,"H. A.",Hagen,,,,1850
"Aeshna antiqua","belongs to",Aeshna,"H. A.",Hagen,,,,1850
"Gomphus resinatus","belongs to",Gomphus,"H. A.",Hagen,,,,1850
"Agrion antiquum","belongs to",Agrion,"H. A.",Hagen,,,,1850
"Libellula (Heterophlebia) dislocata","belongs to","Libellula (Heterophlebia)","H. A.",Hagen,,,,1850
"Anax buchii","belongs to",Anax,"H. A.",Hagen,,,,1850
"Aeschna parkinsoni","belongs to",Aeshna,E.,"De Selys-Longchamps",,,,1850
"Calopteryx atrata","belongs to",Calopteryx,,Selys,,,,1853
"Libellulium agrias","belongs to",Libellulium,"J. O.",Westwood,,,,1854
"Aeschnidium bubas","belongs to",Aeschnidium,"J. O.",Westwood,,,,1854
"Libellula sieboldiana","belongs to",Libellula,"H. R.",Goeppert,,,,1855
"Libellula pannewitziana","belongs to",Libellula,"H. R.",Goeppert,,,,1855
"Libellula jurassica","belongs to",Libellula,"C. G.",Giebel,,,,1856
"Libellula perse","belongs to",Libellula,O.,Heer,,,,1856
"Libellula doris","belongs to",Libellula,"A. B. P.",Massalongo,,,,1856
"Libellula eurynome","belongs to",Libellula,"A. B. P.",Massalongo,,,,1856
"Aeschna schmiedeli","belongs to",Aeshna,,Giebel,,,,1856
"Cordulia scheuchzeri","belongs to",Cordulia,"A. B. P.",Massalongo,,,,1856
Megasemum,"nomen nudum",Libellulidae,A.,Aymard,,,,1856
"Megasemum ronzonense","belongs to",Megasemum,A.,Aymard,,,,1856
"Gomphoides occulta","belongs to",Gomphoides,H.,Hagen,,,,1856
"Aeschna bavarica","belongs to",Aeshna,,Giebel,,,,1856
"Agrion antiquum","belongs to",Agrion,"F. J.",Pictet,H.,Hagen,,1856
"Calopteryx lithographica","belongs to",Calopteryx,C.,Giebel,,,,1857
"Aeschna multicellulosa","belongs to",Aeshna,C.,Giebel,,,,1857
"Lestes vicina","belongs to",Lestes,"H. A.",Hagen,,,,1858
"Heterophlebia jucunda","belongs to","Libellula (Heterophlebia)","H. A.",Hagen,,,,1858
"Petalura acutipennis","belongs to",Petalura,"H. A.",Hagen,,,,1859
"Aeschna wittei","belongs to",Aeshna,C.,Giebel,,,,1860
"Petalura acutipennis","belongs to",Petalura,E.,Hassencamp,,,,1860
"Libellula aglaia","nomen nudum",Libellula,O.,Heer,,,,1861
"Aeschna muensteri","belongs to",Aeshna,"H. A.",Hagen,,,,1862
"Gomphus koehleri","belongs to",Gomphus,"H. A.",Hagen,,,,1862
"Heterophlebia amphitrite","belongs to","Libellula (Heterophlebia)","H. A.",Hagen,,,,1862
"Agrion latreillei","belongs to",Agrion,"H. A.",Hagen,,,,1862
"Calopteryx lithographica","belongs to",Calopteryx,"H. A.",Hagen,,,,1862
"Heterophlebia phryne","belongs to","Libellula (Heterophlebia)",,Hagen,,,,1862
"Heterophlebia casta","belongs to","Libellula (Heterophlebia)","H. A.",Hagen,,,,1862
"Libellula longialata","belongs to",Petalia,"H. A.",Hagen,,,,1862
"Euphaea areolata","belongs to",Euphaea,"H. A.",Hagen,,,,1862
"Euphaea filosa","belongs to",Euphaea,"H. A.",Hagen,,,,1862
"Euphaea multinervis","belongs to",Euphaea,"H. A.",Hagen,,,,1862
"Libellula densa","belongs to",Libellula,,Hagen,,,,1862
"Aeschna gigantea","belongs to",Anax,"H. A.",Hagen,,,,1862
"Petalura eximia","belongs to",Petalura,,Hagen,,,,1862
"Heterophlebia helle","belongs to","Libellula (Heterophlebia)","H. A.",Hagen,,,,1862
"Libellula abscissa","belongs to",Libellula,,Hagen,,,,1862
"Aeschna wittei","belongs to",Petalura,"H. A.",Hagen,,,,1862
"Aeschna intermedia","belongs to",Anax,"H. A.",Hagen,,,,1862
"Agrion exhaustum","belongs to",Agrion,"H. A.",Hagen,,,,1862
"Agrion hecticum","belongs to",Agrion,,Hagen,,,,1862
"Heterophlebia aequalis","belongs to","Libellula (Heterophlebia)","H. A.",Hagen,,,,1862
"Agrion vetustum","belongs to",Agrion,"H. A.",Hagen,,,,1862
"Libellula naevia","nomen nudum",Libellula,,Hagen,,,,1862
"Aeschna schmiedeli","belongs to",Aeshna,"H. A.",Hagen,,,,1862
"Aeschna charpentieri","belongs to",Anax,"H. A.",Hagen,,,,1862
"Aeshna antiqua","belongs to",Aeshna,"H. A.",Hagen,,,,1862
"Libellula valga","nomen nudum",Libellula,"H. A.",Hagen,,,,1862
"Aeschna multicellulosa","subjective synonym of","Libellula longialata","H. A.",Hagen,,,,1862
"Aeschna bavarica","subjective synonym of","Libellula longialata","H. A.",Hagen,,,,1862
"Anax buchii","belongs to",Anax,"H. A.",Hagen,,,,1862
"Ictinus fur","belongs to",Ictinus,"H. A.",Hagen,,,,1863
"Libellula cellulosa","belongs to",Libellula,"H. A.",Hagen,,,,1863
"Agrion icarus","belongs to",Agrion,"H. A.",Hagen,,,,1863
"Libellula ceres","belongs to",Libellula,"H. A.",Hagen,,,,1863
"Libellula cassandra","belongs to",Libellula,"H. A.",Hagen,,,,1863
"Aeschna dido","belongs to",Aeshna,"H. A.",Hagen,,,,1863
"Agrion thais","belongs to",Agrion,"H. A.",Hagen,,,,1863
"Agrion mysis","belongs to",Agrion,"H. A.",Hagen,,,,1863
"Aeschna hageni","belongs to",Aeshna,O.,Heer,,,,1865
"Agrion (Lestes) leucosia","belongs to",Agrion,O.,Heer,,,,1865
"Agrion (Sterope) parthenope","belongs to",Agrion,O.,Heer,,,,1865
"Libellula doris","belongs to",Libellula,O.,Heer,,,,1865
"Libellula calypso","belongs to",Libellula,O.,Heer,,,,1865
"Heterophlebia amphitrite","belongs to",Stenophlebia,H.,Hagen,,,,1866
"Heterophlebia phryne","belongs to",Stenophlebia,H.,Hagen,,,,1866
"Heterophlebia westwoodii","belongs to",Tarsophlebia,H.,Hagen,,,,1866
"Isophlebia aspasia","belongs to",Isophlebia,H.,Hagen,,,,1866
"Heterophlebia helle","belongs to",Isophlebia,H.,Hagen,,,,1866
"Heterophlebia aequalis","belongs to",Stenophlebia,H.,Hagen,,,,1866
"Libellula westwoodii","belongs to",Libellula,J.,Phillips,,,,1866
"Libellula (Heterophlebia) dislocata","belongs to","Libellula (Heterophlebia)",H.,Hagen,,,,1866
"Anax buchii","belongs to",Anax,H.,Hagen,,,,1866
"Libellula sieboldiana","belongs to",Libellula,A.,Assmann,,,,1870
"Libellula kieseli","belongs to",Libellula,A.,Assmann,,,,1870
"Libellula pannewitziana","belongs to",Libellula,A.,Assmann,,,,1870
"Libellula minuscula","belongs to",Libellula,E.,Oustalet,,,,1870
"Macromia amphigena","belongs to",Macromia,,Selys,,,,1871
"Agriocnemis lacteola","belongs to",Agriocnemis,,Selys,,,,1877
Podagrion,"belongs to",Agrionidae,"S. H.",Scudder,,,,1878
"Podagrion abortivum","belongs to",Podagrion,"S. H.",Scudder,,,,1878
"Dysagrion fredericii","belongs to",Dysagrion,"S. H.",Scudder,,,,1878
"Aeschna (Anaciaeschna)","belongs to",Aeshna,,Selys,,,,1878
"Agrion iris","belongs to",Agrion,O.,Heer,,,,1879
"Aeschna (Aeschna)","belongs to",Aeshna,,Selys,,,,1882
"Aeshna (Basiaeschna)","belongs to",Aeshna,,Selys,,,,1883
"Aeschna flindersiensis","belongs to",Aeshna,H.,Woodward,,,,1884
Aeshna,"belongs to",Libellula,,Geinitz,,,,1884
"Libellula (Aeschna) brodiei","belongs to",Aeshna,"F. E.",Geinitz,,,,1884
"Libellula longialata","belongs to",Petalia,"S. H.",Scudder,,,,1885
"Dysagrion packardii","belongs to",Dysagrion,"S. H.",Scudder,,,,1885
"Heterophlebia aequalis","belongs to",Stenophlebia,"S. H.",Scudder,,,,1885
"Gomphus koehleri","belongs to",Uropetala,"J. V.",Deichmüller,,,,1886
"Heterophlebia amphitrite","belongs to",Stenophlebia,"J. V.",Deichmüller,,,,1886
"Heterophlebia phryne","belongs to",Stenophlebia,"J. V.",Deichmüller,,,,1886
"Libellula longialata","belongs to",Cymatophlebia,"J. V.",Deichmüller,,,,1886
"Libellula densa","belongs to",Estemoa,"J. V.",Deichmüller,,,,1886
"Aeschna gigantea","belongs to",Estemoa,"J. V.",Deichmüller,,,,1886
"Isophlebia aspasia","belongs to",Isophlebia,"J. V.",Deichmüller,,,,1886
"Aeschna wittei","belongs to",Protolindenia,"J. V.",Deichmüller,,,,1886
Protolindenia,"belongs to",Gomphidae,"J. V.",Deichmüller,,,,1886
"Aeschna intermedia","belongs to",Cordulegaster,"J. V.",Deichmüller,,,,1886
"Heterophlebia aequalis","belongs to",Stenophlebia,"J. V.",Deichmüller,,,,1886
"Cordulia scheuchzeri","belongs to",Cordulia,G.,Omboni,,,,1886
"Agrion buckmani","belongs to","Libellula (Heterophlebia)","F. E.",Geinitz,,,,1887
"Aeshna liassina","belongs to",Diastatomma,"F. E.",Geinitz,,,,1887
Samarura,"belongs to",Odonata,F.,Brauer,J.,Redtenbacher,"L. Ganglbauer",1889
"Samarura gigantea","belongs to",Samarura,F.,Brauer,J.,Redtenbacher,"L. Ganglbauer",1889
"Samarura minor","belongs to",Samarura,F.,Brauer,J.,Redtenbacher,"L. Ganglbauer",1889
"Samarura pulla","belongs to",Samarura,F.,Brauer,J.,Redtenbacher,"L. Ganglbauer",1889
"Samarura angusta","belongs to",Samarura,F.,Brauer,J.,Redtenbacher,"L. Ganglbauer",1889
"Samarura rotundata","belongs to",Samarura,F.,Brauer,J.,Redtenbacher,"L. Ganglbauer",1889
Palaeophlebia,"belongs to",Odonata,F.,Brauer,J.,Redtenbacher,"L. Ganglbauer",1889
"Palaeophlebia synlestoides","belongs to",Palaeophlebia,F.,Brauer,J.,Redtenbacher,"L. Ganglbauer",1889
"Libellula densa","belongs to",Aeschnidium,,Kirby,,,,1890
"Aeschna gigantea","belongs to",Aeschnidium,,Kirby,,,,1890
"Agrion (Sterope) parthenope","belongs to",Steropoides,"W. E.",Kirby,,,,1890
"Lithagrion umbratum","belongs to",Lithagrion,"S. H.",Scudder,,,,1890
"Lithagrion hyalinum","belongs to",Lithagrion,"S. H.",Scudder,,,,1890
"Podagrion abortivum","belongs to",Podagrion,"S. H.",Scudder,,,,1890
"Dysagrion fredericii","belongs to",Dysagrion,"S. H.",Scudder,,,,1890
"Dysagrion lakesii","belongs to",Dysagrion,"S. H.",Scudder,,,,1890
"Dysagrion packardii","belongs to",Dysagrion,"S. H.",Scudder,,,,1890
"Agrion telluris","belongs to",Agrion,"S. H.",Scudder,,,,1890
"Aeshna (Basiaeschna)","belongs to",Aeshna,"S. H.",Scudder,,,,1890
"Aeshna (Basiaeschna) separata","belongs to","Aeshna (Basiaeschna)","S. H.",Scudder,,,,1890
"Agrion mascescens","belongs to",Agrion,"S. H.",Scudder,,,,1890
"Agrion exsularis","belongs to",Agrion,"S. H.",Scudder,,,,1890
"Aeschna (Aeschna)","belongs to",Aeshna,"S. H.",Scudder,,,,1890
"Aeschna (Aeschna) solida","belongs to","Aeschna (Aeschna)","S. H.",Scudder,,,,1890
"Aeschna larvata","belongs to",Aeshna,"S. H.",Scudder,,,,1890
"Aeschna larvata","belongs to",Aeshna,"S. H.",Scudder,,,,1890
"Libellula requieniana","belongs to",Libellula,H.,Nicolas,,,,1890
"Libellula pourqueryi","belongs to",Libellula,H.,Nicolas,,,,1890
Trichocnemis,"belongs to",Odonata,"S. H.",Scudder,,,,1892
"Trichocnemis aliena","belongs to",Trichocnemis,"S. H.",Scudder,,,,1892
"Stenogomphus carletoni","belongs to",Stenogomphus,"S. H.",Scudder,,,,1892
"Agrion iris","belongs to",Stenolestes,"S. H.",Scudder,,,,1895
"Lestes foersteri","belongs to",Lestes,W.,Hess,,,,1895
"Agrion latreillei","belongs to",Agrion,F.,Meunier,,,,1896
"Agrion exhaustum","belongs to",Agrion,F.,Meunier,,,,1896
"Agrion hecticum","belongs to",Agrion,F.,Meunier,,,,1896
"Agrion gracile","nomen nudum",Agrion,F.,Meunier,,,,1896
"Agrion vetustum","belongs to",Agrion,F.,Meunier,,,,1896
"Gomphus koehleri","belongs to",Uropetala,F.,Meunier,,,,1897
"Libellula longialata","belongs to",Cymatophlebia,F.,Meunier,,,,1897
"Isophlebia aspasia","belongs to",Isophlebia,F.,Meunier,,,,1897
"Aeschna intermedia","belongs to",Cordulegaster,F.,Meunier,,,,1897
"Heterophlebia aequalis","belongs to",Stenophlebia,F.,Meunier,,,,1897
"Hageniella problematica","belongs to",Hageniella,F.,Meunier,,,,1897
"Agrion charpentieri","belongs to",Agrion,,Meunier,,,,1898
Gomphus,"belongs to",Aeshna,A.,Bode,,,,1905
"Aeschna brodiei","belongs to",Gomphus,A.,Bode,,,,1905
"Heterophlebia proxima","belongs to","Libellula (Heterophlebia)",A.,Bode,,,,1905
"Campterophlebia elegans","belongs to",Campterophlebia,A.,Bode,,,,1905
"Heterophlebia propinqua","belongs to","Libellula (Heterophlebia)",A.,Bode,,,,1905
Proaeschna,"nomen nudum",Odonata,A.,Fritsch,,,,1905
Gomphidae,"belongs to",Anisoptera,A.,Handlirsch,,,,1906
"Aeschna brodiei","belongs to",Gomphoides,A.,Handlirsch,,,,1906
Epallagidae,"belongs to",Zygoptera,A.,Handlirsch,,,,1906
Stenophlebiinae,"belongs to",Anisozygoptera,A.,Handlirsch,,,,1906
Nannogomphus,"belongs to",Gomphidae,A.,Handlirsch,,,,1906
Mesuropetala,"belongs to",Protolindeniina,A.,Handlirsch,,,,1906
"Aeschna muensteri","subjective synonym of","Agrion latreillei",A.,Handlirsch,,,,1906
"Gomphus koehleri","belongs to",Mesuropetala,A.,Handlirsch,,,,1906
Stenophlebia,"belongs to",Stenophlebiinae,A.,Handlirsch,,,,1906
"Heterophlebia amphitrite","belongs to",Stenophlebia,A.,Handlirsch,,,,1906
"Agrion latreillei","belongs to",Stenophlebia,A.,Handlirsch,,,,1906
"Calopteryx lithographica","subjective synonym of","Agrion latreillei",A.,Handlirsch,,,,1906
"Heterophlebia phryne","subjective synonym of","Agrion latreillei",A.,Handlirsch,,,,1906
"Heterophlebia casta","belongs to",Stenophlebia,A.,Handlirsch,,,,1906
"Libellula jurassica","belongs to",Mesogomphus,A.,Handlirsch,,,,1906
Cymatophlebiina,"belongs to",Gomphidae,A.,Handlirsch,,,,1906
Cymatophlebia,"belongs to",Cymatophlebiina,A.,Handlirsch,,,,1906
"Libellula longialata","belongs to",Cymatophlebia,A.,Handlirsch,,,,1906
Steleopteridae,"belongs to",Zygoptera,A.,Handlirsch,,,,1906
Steleopteron,"belongs to",Steleopteridae,A.,Handlirsch,,,,1906
"Steleopteron deichmuelleri","belongs to",Steleopteron,A.,Handlirsch,,,,1906
"Libellulium agrias","belongs to",Cymatophlebia,A.,Handlirsch,,,,1906
Pseudoeuphaea,"belongs to",Epallagidae,A.,Handlirsch,,,,1906
"Euphaea areolata","belongs to",Pseudoeuphaea,A.,Handlirsch,,,,1906
"Euphaea filosa","belongs to",Pseudoeuphaea,A.,Handlirsch,,,,1906
"Pseudoeuphaea falsificata","belongs to",Pseudoeuphaea,A.,Handlirsch,,,,1906
"Pseudoeuphaea obscura","belongs to",Pseudoeuphaea,A.,Handlirsch,,,,1906
Euphaeopsis,"belongs to",Epallagidae,A.,Handlirsch,,,,1906
"Euphaea multinervis","belongs to",Euphaeopsis,A.,Handlirsch,,,,1906
Samarura,"belongs to",Anisozygoptera,A.,Handlirsch,,,,1906
Aeschnidium,"belongs to",Aeschnidiidae,A.,Handlirsch,,,,1906
"Aeschnidium bubas","belongs to",Aeschnidium,A.,Handlirsch,,,,1906
"Libellula antiqua","belongs to",Aeschnidium,A.,Handlirsch,,,,1906
"Libellula densa","belongs to",Aeschnidium,A.,Handlirsch,,,,1906
Urogomphus,"belongs to",Aeschnidiidae,A.,Handlirsch,,,,1906
"Aeschna gigantea","belongs to",Urogomphus,A.,Handlirsch,,,,1906
"Petalura eximia","belongs to",Urogomphus,A.,Handlirsch,,,,1906
Anisozygoptera,"belongs to",Odonata,A.,Handlirsch,,,,1906
"Heterophlebia westwoodii","belongs to",Tarsophlebia,A.,Handlirsch,,,,1906
"Libellula hopei","belongs to",Anisozygopteron,A.,Handlirsch,,,,1906
"Agrion buckmani","belongs to","Libellula (Heterophlebia)",A.,Handlirsch,,,,1906
"Heterophlebia geinitzi","belongs to","Libellula (Heterophlebia)",A.,Handlirsch,,,,1906
Liadothemis,"belongs to",Anisozygoptera,A.,Handlirsch,,,,1906
Anisozygopteron,"belongs to",Anisozygoptera,A.,Handlirsch,,,,1906
"Aeschna hageni","belongs to",Anisozygopteron,A.,Handlirsch,,,,1906
Diastatommidae,"belongs to",Anisozygoptera,A.,Handlirsch,,,,1906
Archithemis,"belongs to",Diastatommidae,A.,Handlirsch,,,,1906
"Aeshna liassina","belongs to",Diastatomma,A.,Handlirsch,,,,1906
Heterothemis,"belongs to",Anisozygoptera,A.,Handlirsch,,,,1906
"Heterothemis germanica","belongs to",Heterothemis,A.,Handlirsch,,,,1906
"Liadothemis hydrodictyon","belongs to",Liadothemis,A.,Handlirsch,,,,1906
Oryctothemis,"belongs to",Anisozygoptera,A.,Handlirsch,,,,1906
"Oryctothemis hageni","belongs to",Oryctothemis,A.,Handlirsch,,,,1906
"Samarura gigantea","belongs to",Samarura,A.,Handlirsch,,,,1906
"Samarura minor","belongs to",Samarura,A.,Handlirsch,,,,1906
"Samarura pulla","belongs to",Samarura,A.,Handlirsch,,,,1906
"Samarura angusta","belongs to",Samarura,A.,Handlirsch,,,,1906
"Samarura rotundata","belongs to",Samarura,A.,Handlirsch,,,,1906
Isophlebia,"belongs to",Isophlebiidae,A.,Handlirsch,,,,1906
"Isophlebia aspasia","belongs to",Isophlebia,A.,Handlirsch,,,,1906
"Hemerobioides giganteus","belongs to",Isophlebia,A.,Handlirsch,,,,1906
"Heterophlebia helle","belongs to",Anisophlebia,A.,Handlirsch,,,,1906
Anisophlebia,"belongs to",Isophlebiidae,A.,Handlirsch,,,,1906
Gomphoides,"belongs to",Gomphidae,A.,Handlirsch,,,,1906
"Libellula abscissa","belongs to",Urogomphus,A.,Handlirsch,,,,1906
Aeschnogomphus,"belongs to",Protolindeniina,A.,Handlirsch,,,,1906
