child_name,status,parent_name,author1init,author1last,author2init,author2last,otherauthors,pubyr
Libellula,"belongs to",Neuroptera,C.,Linnaeus,,,,1758
"Agrion (Agrion)","belongs to",Agrion,,Linnaeus,,,,1758
"Libellula grandis","belongs to",Libellula,C.,Linnaeus,,,,1758
Libellula,"belongs to",Neuroptera,C.,Linnaeus,,,,1761
"Libellula grandis","belongs to",Libellula,C.,Linnaeus,,,,1761
Libellula,"belongs to",Insecta,"E. L.",Geoffroy,,,,1762
Libellula,"belongs to",Neuroptera,"G. A.",Scopoli,,,,1763
"Libellula grandis","belongs to",Libellula,"G. A.",Scopoli,,,,1763
Libellula,"belongs to",Neuroptera,"O. F.",Müller,,,,1764
"Libellula quadrifasciata","belongs to",Libellula,"O. F.",Müller,,,,1764
Libellula,"belongs to",Gymnoptera,"J. C.",Schaeffer,,,,1766
Libellula,"belongs to",Neuroptera,C.,Linnaeus,,,,1767
"Libellula grandis","belongs to",Libellula,C.,Linnaeus,,,,1767
"Libellula grandis","belongs to",Libellula,"O. F.",Müller,,,,1767
"Libellula quadrifasciata","belongs to",Libellula,"O. F.",Müller,,,,1767
"Libellula quadrifasciata isoceles","belongs to","Libellula quadrifasciata","O. F.",Müller,,,,1767
Libellula,"belongs to",Neuroptera,D.,Drury,,,,1770
Agrion,"belongs to",Unogata,"J. C.",Fabricius,,,,1775
Libellula,"belongs to",Unogata,"J. C.",Fabricius,,,,1775
Aeshna,"belongs to",Unogata,"J. C.",Fabricius,,,,1775
"Libellula ferruginea","belongs to",Libellula,"J. C.",Fabricius,,,,1775
"Libellula grandis","belongs to",Aeshna,"J. C.",Fabricius,,,,1775
Libellula,"belongs to",Neuroptera,"O. F.",Müller,,,,1776
"Libellula quadrifasciata","belongs to",Libellula,"O. F.",Müller,,,,1776
Libellula,"belongs to",Neuroptera,M.,Harris,,,,1780
Agrion,"belongs to",Neuroptera,"P. A.",Latreille,,,,1796
Libellula,"belongs to",Neuroptera,"P. A.",Latreille,,,,1796
Aeshna,"belongs to",Neuroptera,"P. A.",Latreille,,,,1796
Odonata,"belongs to",Insecta,"J. C.",Fabricius,,,,1798
Agrion,"belongs to",Odonata,"J. C.",Fabricius,,,,1798
Libellula,"belongs to",Odonata,"J. C.",Fabricius,,,,1798
Aeshna,"belongs to",Odonata,"J. C.",Fabricius,,,,1798
Agrion,"belongs to",Libellulinae,"P. A.",Latreille,,,,1802
Libellula,"belongs to",Libellulinae,"P. A.",Latreille,,,,1802
Aeshna,"belongs to",Libellulinae,"P. A.",Latreille,,,,1802
"Anax imperator","belongs to",Anax,,Leach,,,,1815
"Libellula oeningensis","belongs to",Libellula,"C. D. E.",Koenig,,,,1825
"Aeshna antiqua","belongs to",Aeshna,"P. L.","Vander Linden",,,,1827
"Hemerobioides giganteus","nomen nudum",Hemerobioides,W.,Buckland,,,,1838
"Aeschna muensteri","belongs to",Aeshna,"E. F.",Germar,,,,1839
"Agrion latreillei","belongs to",Agrion,"E. F.",Germar,,,,1839
"Libellula longialata","belongs to",Libellula,"E. F.",Germar,,,,1839
"Aeschna gigantea","belongs to",Aeshna,"E. F.",Germar,,,,1839
"Aeshna parthenope","belongs to",Aeshna,,Selys,,,,1839
"Aeschna intermedia","belongs to",Aeshna,,Munster,,,,1839
"Cyrtosoma ephippiger","belongs to",Cyrtosoma,,Burmeister,,,,1839
"Aeshna liassina","belongs to",Aeshna,"H. E.",Strickland,,,,1840
"Libellula longialata","belongs to",Aeshna,"E. F.",Germar,,,,1842
"Aeschna brodiei","belongs to",Aeshna,J.,Buckman,,,,1843
"Libellula platyptera","belongs to",Libellula,T.,Charpentier,,,,1843
"Libellula antiqua","belongs to",Libellula,"P. B.",Brodie,,,,1845
"Libellula hopei","belongs to",Libellula,"P. B.",Brodie,,,,1845
"Agrion buckmani","belongs to",Agrion,"P. B.",Brodie,,,,1845
"Hemerobioides giganteus","belongs to",Hemerobioides,"J. O.",Westwood,,,,1845
"Aeshna perampla","belongs to",Aeshna,"P. B.",Brodie,,,,1845
"Aeschna brodiei","belongs to",Aeshna,H.,Hagen,,,,1848
"Aeschna muensteri","belongs to",Cordulegaster,H.,Hagen,,,,1848
"Gomphus koehleri","belongs to",Gomphus,H.,Hagen,,,,1848
"Libellula longialata","belongs to",Anax,H.,Hagen,,,,1848
"Aeschna gigantea","belongs to",Anax,H.,Hagen,,,,1848
"Aeshna liassina","belongs to",Aeshna,H.,Hagen,,,,1848
"Lestes coloratus","belongs to",Lestes,H.,Hagen,,,,1848
"Libellula platyptera","belongs to",Libellula,H.,Hagen,,,,1848
"Aeschna intermedia","belongs to",Anax,H.,Hagen,,,,1848
