age;oxygen
0;22.2 
10;21.6
20;21.1
30;22.2
40;21.3
50;23.8
60;26.0
70;25.5
80;25.6
90;25.4
100;32.4
110;28.1
120;28.8
140;22.6
150;27.4
160;25.6
170;28.3
180;22.6
190;27.4
200;28.1
210;23.5
220;27.1
230;18.5
240;28.0
250;28.9
260;26.9
270;27.6
280;29.4
290;28.2
300;25.5
310;26.1
320;27.0
330;27.9
340;28.1
350;28.1
380;18.7
390;15.7
400;15.5
