oxygen	age
22.67857143	10
23.66071429	20
23.75	30
23.125	40
22.5	50
22.58928571	60
22.76785714	70
22.94642857	80
22.76785714	90
22.5	100
21.875	110
19.82142857	120
17.05357143	130
15.625	140
16.78571429	150
16.33928571	160
15.53571429	170
15.08928571	180
15.89285714	190
20.08928571	200
23.57142857	210
23.66071429	220
20.625	230
20.35714286	240
25.17857143	250
32.14285714	260
33.39285714	270
33.83928571	280
33.48214286	290
31.42857143	300
27.32142857	310
22.5	320
